404: Not Found,merchant_text,amount,category
,Metro Cash and Carry #53386,2496.0,Groceries
,Cinepolis Pune,393.0,Entertainment
,UPI Transfer Jaipur,1245.0,Transfer
,Blinkit Noida,1528.0,Groceries
,Snapdeal #90687,5318.0,Shopping
,MTNL Delhi,561.0,Bills
,Wow Momo Outlet,160.0,Food
,Groww Investment Purchase,2402.0,Investment
,Zepto Delhi,338.0,Groceries
,Practo Consultation Bill,1409.0,Healthcare
,Zomato #85696,180.0,Food
,JioMart #98248,1107.0,Groceries
,Metro Cash and Carry Delhi,1443.0,Groceries
,Paytm Wallet Load Noida,4549.0,Transfer
,Amazon Prime Video,838.0,Entertainment
,Tata Cliq Gurgaon,2891.0,Shopping
,Domino's Pizza #71381,848.0,Food
,Tata Cliq Bangalore,5102.0,Shopping
,Reliance Digital #2658,3841.0,Shopping
,DMart,2566.0,Groceries
,McDonalds Order,110.0,Food
,Paytm Wallet Load Booking,2340.0,Transfer
,Apartment Rent #66278,17491.0,Rent
,GPay Transfer Noida,4450.0,Transfer
,Hotstar,868.0,Entertainment
,PG Rent Payment Delivery,14685.0,Rent
,Blinkit Kochi,1308.0,Groceries
,MakeMyTrip Gurgaon,3205.0,Travel
,Cash Deposit Transfer Order,3381.0,Transfer
,LIC Premium,6598.0,Investment
,GPay Transfer Gurgaon,4907.0,Transfer
,MakeMyTrip #12003,5325.0,Travel
,More Supermarket Purchase,2094.0,Groceries
,BSNL,780.0,Bills
,Amazon Store,1889.0,Shopping
,Zerodha Trading #36755,8361.0,Investment
,Yatra Hyderabad,1267.0,Travel
,Flat Rent Transfer Payment,14585.0,Rent
,HDFC Mutual Fund SIP #82006,3147.0,Investment
,Airtel Postpaid,1953.0,Bills
,Cinepolis Delhi,195.0,Entertainment
,Cafe Coffee Day,91.0,Food
,Society Maintenance Rent Jaipur,20680.0,Rent
,Cash Deposit Transfer Pune,997.0,Transfer
,Cafe Coffee Day #57155,677.0,Food
,Flipkart #75177,736.0,Shopping
,SBI Mutual Fund,5155.0,Investment
,Nature's Basket Gurgaon,742.0,Groceries
,Blinkit,974.0,Groceries
,Rent Payment Landlord Purchase,17626.0,Rent
,Hathway Broadband Mumbai,1500.0,Bills
,Water Board Kolkata,2257.0,Bills
,Reliance Fresh,401.0,Groceries
,GPay Transfer,3096.0,Transfer
,PhonePe to Friend Gurgaon,747.0,Transfer
,PharmEasy #50925,1373.0,Healthcare
,Amazon #17591,2647.0,Shopping
,Uber Pune,1793.0,Travel
,GoAir Delhi,3542.0,Travel
,Reliance Digital Hyderabad,1101.0,Shopping
,JioMart #32285,1387.0,Groceries
,Ola Cabs #22465,2608.0,Travel
,Fortis Hospital,722.0,Healthcare
,Society Maintenance Rent,23825.0,Rent
,GPay Transfer #66308,4316.0,Transfer
,Reliance Fresh Jaipur,628.0,Groceries
,Paytm Wallet Load #45444,4669.0,Transfer
,UPI Transfer,3332.0,Transfer
,Reliance Fresh,581.0,Groceries
,Fortis Hospital,1797.0,Healthcare
,Netmeds Hyderabad,1421.0,Healthcare
,KFC #45597,364.0,Food
,Upstox Trading #66715,3471.0,Investment
,BookMyShow Tickets #76248,331.0,Entertainment
,Upstox Trading Delhi,7333.0,Investment
,House Rent NEFT,21306.0,Rent
,Medplus Store Ahmedabad,1801.0,Healthcare
,Lifestyle Stores Delhi,2275.0,Shopping
,UPI Transfer #37663,1073.0,Transfer
,Upstox Trading Noida,7421.0,Investment
,Electricity Board Bangalore,1351.0,Bills
,Paytm Money,9586.0,Investment
,UPI Transfer Ahmedabad,923.0,Transfer
,Hotstar,508.0,Entertainment
,Spencer's Retail,635.0,Groceries
,Pizza Hut Kochi,160.0,Food
,Air India Order,4776.0,Travel
,Flipkart,1370.0,Shopping
,PVR Cinemas,714.0,Entertainment
,Amazon,4933.0,Shopping
,Snapdeal Transaction,4499.0,Shopping
,GPay Transfer,1408.0,Transfer
,Star Bazaar Noida,2514.0,Groceries
,1mg Pharmacy Noida,1743.0,Healthcare
,Gas Pipeline #55459,2126.0,Bills
,Tata Sky,2335.0,Bills
,Ajio Chennai,4119.0,Shopping
,Subway,713.0,Food
,Netflix,743.0,Entertainment
,Star Bazaar #81173,2978.0,Groceries
,DMart #37265,480.0,Groceries
,Decathlon Sports Mumbai,2876.0,Shopping
,Flat Rent Transfer Order,13179.0,Rent
,Practo Consultation,1837.0,Healthcare
,Zepto #74792,709.0,Groceries
,Angel One Store,3093.0,Investment
,Ola Auto Ahmedabad,5528.0,Travel
,Vodafone Idea,2148.0,Bills
,BSNL,922.0,Bills
,ZEE5 Subscription,758.0,Entertainment
,Ajio Bill,2908.0,Shopping
,Groww Investment Bangalore,4906.0,Investment
,GPay Transfer,2084.0,Transfer
,Bank NEFT Transfer Bill,2385.0,Transfer
